Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
AUDIO           161-3507-E           TRS_JACK161-3507-E              161-3507-E             PP_Connectors        1
AUX             103169-5             PH_2X07PTH                      HEADER_02X07_PTH       PP_Connectors        1
C1              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C2              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C3              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C4              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C5              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C6              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C7              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C8              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C9              .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C10             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C11             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C12             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C13             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C14             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C15             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C16             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C17             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C18             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C19             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C20             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C21             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C22             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C23             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C24             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C25             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C26             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C27             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C28             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C29             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C30             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C31             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C32             2.2uF                CAPACITOR_POLARIZED1206         1206_POLARIZED         PP_Passives          1
C33             10uF                 CAPACITOR_POLARIZED1206         1206_POLARIZED         PP_Passives          1
C34             100uF                CAPACITOR_POLARIZED6.3MM_SMD    6.3MM_CAP_SMD          PP_Passives          1
C35             1uF                  CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C36             .1uF                 CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
C37             2.2uF                CAPACITOR_POLARIZED1206         1206_POLARIZED         PP_Passives          1
C38             10uF                 CAPACITOR_POLARIZED1206         1206_POLARIZED         PP_Passives          1
C39             100uF                CAPACITOR_POLARIZED6.3MM_SMD    6.3MM_CAP_SMD          PP_Passives          1
C40             1uF                  CAPACITOR_NON_POLAR0402         0402                   PP_Passives          1
